ResultModel(adx=55, sma=9, over=9, numberOfPositions=14, result=1.3275364985374632202422608725478)
ResultModel(adx=56, sma=9, over=9, numberOfPositions=13, result=1.3229230190438110677881211393278)
ResultModel(adx=45, sma=9, over=9, numberOfPositions=14, result=1.2998252866462230125242556677769)
ResultModel(adx=55, sma=8, over=9, numberOfPositions=14, result=1.2982421463978852328842653081545)
ResultModel(adx=50, sma=9, over=9, numberOfPositions=13, result=1.2950130104804654557762923154374)
ResultModel(adx=56, sma=8, over=9, numberOfPositions=13, result=1.2937304711808195702184176151824)
ResultModel(adx=55, sma=7, over=9, numberOfPositions=15, result=1.2931438413021352044176260579340)
ResultModel(adx=49, sma=9, over=9, numberOfPositions=13, result=1.2927524175937495555508582613078)
ResultModel(adx=54, sma=9, over=8, numberOfPositions=14, result=1.2900653399325827894750740130009)
ResultModel(adx=54, sma=9, over=9, numberOfPositions=14, result=1.2900653399325827894750740130009)
ResultModel(adx=56, sma=7, over=9, numberOfPositions=14, result=1.2886498838096198933645390376729)
ResultModel(adx=57, sma=9, over=9, numberOfPositions=15, result=1.2826985187447189443277320756321)
ResultModel(adx=53, sma=9, over=9, numberOfPositions=15, result=1.2798451834241471580099713052983)
ResultModel(adx=58, sma=9, over=9, numberOfPositions=15, result=1.2779709800897420844827718233740)
ResultModel(adx=59, sma=9, over=9, numberOfPositions=15, result=1.2779709800897420844827718233740)
ResultModel(adx=45, sma=8, over=9, numberOfPositions=14, result=1.2711424295580057866577366727129)
ResultModel(adx=47, sma=9, over=9, numberOfPositions=13, result=1.2695563115460284056028897425506)
ResultModel(adx=45, sma=7, over=9, numberOfPositions=16, result=1.2695100456318675698774025418255)
ResultModel(adx=50, sma=8, over=9, numberOfPositions=13, result=1.2664363444557315378051781036866)
ResultModel(adx=44, sma=9, over=9, numberOfPositions=15, result=1.2647941167089728714730163337511)
ResultModel(adx=49, sma=8, over=9, numberOfPositions=13, result=1.2642256353983044274891848541898)
ResultModel(adx=54, sma=8, over=8, numberOfPositions=14, result=1.2615978526787978974227138369639)
ResultModel(adx=54, sma=8, over=9, numberOfPositions=14, result=1.2615978526787978974227138369639)
ResultModel(adx=53, sma=9, over=8, numberOfPositions=16, result=1.2604954722276697711718075922593)
ResultModel(adx=55, sma=9, over=7, numberOfPositions=18, result=1.2566889560762294697289563192607)
ResultModel(adx=54, sma=7, over=8, numberOfPositions=15, result=1.2566434527781738681797100544999)
ResultModel(adx=54, sma=7, over=9, numberOfPositions=15, result=1.2566434527781738681797100544999)
ResultModel(adx=46, sma=9, over=9, numberOfPositions=15, result=1.2563663406444263744917845033209)
ResultModel(adx=49, sma=9, over=8, numberOfPositions=15, result=1.2557811704194138563899361773234)
ResultModel(adx=48, sma=9, over=9, numberOfPositions=13, result=1.2555560021521672529467438589725)
ResultModel(adx=26, sma=7, over=1, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=26, sma=7, over=2, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=26, sma=7, over=3, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=26, sma=7, over=4, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=26, sma=7, over=5, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=26, sma=7, over=6, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=26, sma=7, over=7, numberOfPositions=27, result=1.2554893195183514825037262515298)
ResultModel(adx=57, sma=8, over=9, numberOfPositions=15, result=1.2543935929378429242932206446794)
ResultModel(adx=51, sma=9, over=9, numberOfPositions=14, result=1.2536674803825075755088695880837)
ResultModel(adx=42, sma=9, over=9, numberOfPositions=16, result=1.2524719569324720609371016125687)
ResultModel(adx=20, sma=2, over=8, numberOfPositions=29, result=1.2516361641536458297578110800243)
ResultModel(adx=53, sma=8, over=8, numberOfPositions=15, result=1.2516032213171356707230006503541)
ResultModel(adx=53, sma=8, over=9, numberOfPositions=15, result=1.2516032213171356707230006503541)
ResultModel(adx=54, sma=9, over=7, numberOfPositions=16, result=1.2510220155178721339667722086509)
ResultModel(adx=57, sma=7, over=9, numberOfPositions=17, result=1.2506511908037755709513248617853)
ResultModel(adx=58, sma=8, over=9, numberOfPositions=15, result=1.2497703754689614618903225857843)
ResultModel(adx=59, sma=8, over=9, numberOfPositions=15, result=1.2497703754689614618903225857843)
ResultModel(adx=47, sma=9, over=8, numberOfPositions=14, result=1.2478891698045673080378634170569)
ResultModel(adx=48, sma=9, over=8, numberOfPositions=14, result=1.2478891698045673080378634170569)
ResultModel(adx=49, sma=8, over=8, numberOfPositions=14, result=1.2469221768711397804010886296433)
ResultModel(adx=53, sma=7, over=8, numberOfPositions=16, result=1.2466880711667548358494321998835)
ResultModel(adx=53, sma=7, over=9, numberOfPositions=16, result=1.2466880711667548358494321998835)
ResultModel(adx=50, sma=9, over=8, numberOfPositions=15, result=1.2465699812920167978941692676776)
ResultModel(adx=30, sma=9, over=1, numberOfPositions=23, result=1.2445565080267536588427557983554)
ResultModel(adx=30, sma=9, over=2, numberOfPositions=23, result=1.2445565080267536588427557983554)
ResultModel(adx=30, sma=9, over=3, numberOfPositions=23, result=1.2445565080267536588427557983554)
ResultModel(adx=30, sma=9, over=4, numberOfPositions=23, result=1.2445565080267536588427557983554)
ResultModel(adx=30, sma=9, over=5, numberOfPositions=23, result=1.2445565080267536588427557983554)
ResultModel(adx=30, sma=9, over=6, numberOfPositions=23, result=1.2445565080267536588427557983554)
ResultModel(adx=43, sma=9, over=9, numberOfPositions=16, result=1.2442154387716490857602477121093)
ResultModel(adx=42, sma=8, over=9, numberOfPositions=15, result=1.2436363084554741274928626239480)
ResultModel(adx=58, sma=7, over=9, numberOfPositions=17, result=1.2423474175056979511420502330176)
ResultModel(adx=59, sma=7, over=9, numberOfPositions=17, result=1.2423474175056979511420502330176)
ResultModel(adx=42, sma=7, over=9, numberOfPositions=17, result=1.2420392475182584002580366363533)
ResultModel(adx=47, sma=8, over=9, numberOfPositions=13, result=1.2415413909073672562220622043822)
ResultModel(adx=53, sma=9, over=7, numberOfPositions=17, result=1.2411111680605182265102080290262)
ResultModel(adx=28, sma=8, over=1, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=28, sma=8, over=2, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=28, sma=8, over=3, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=28, sma=8, over=4, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=28, sma=8, over=5, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=28, sma=8, over=6, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=28, sma=8, over=7, numberOfPositions=22, result=1.2408601630513743277773455614084)
ResultModel(adx=47, sma=8, over=8, numberOfPositions=13, result=1.2390858509105855478760430141168)
ResultModel(adx=48, sma=8, over=8, numberOfPositions=13, result=1.2390858509105855478760430141168)
ResultModel(adx=29, sma=8, over=1, numberOfPositions=21, result=1.2390853377850010869247587028813)
ResultModel(adx=29, sma=8, over=2, numberOfPositions=21, result=1.2390853377850010869247587028813)
ResultModel(adx=29, sma=8, over=3, numberOfPositions=21, result=1.2390853377850010869247587028813)
ResultModel(adx=29, sma=8, over=4, numberOfPositions=21, result=1.2390853377850010869247587028813)
ResultModel(adx=29, sma=8, over=5, numberOfPositions=21, result=1.2390853377850010869247587028813)
ResultModel(adx=29, sma=8, over=6, numberOfPositions=21, result=1.2390853377850010869247587028813)
ResultModel(adx=55, sma=9, over=1, numberOfPositions=20, result=1.2390599986388401326212201516606)
ResultModel(adx=55, sma=9, over=2, numberOfPositions=20, result=1.2390599986388401326212201516606)
ResultModel(adx=55, sma=9, over=3, numberOfPositions=20, result=1.2390599986388401326212201516606)
ResultModel(adx=55, sma=9, over=4, numberOfPositions=20, result=1.2390599986388401326212201516606)
ResultModel(adx=55, sma=9, over=5, numberOfPositions=20, result=1.2390599986388401326212201516606)
ResultModel(adx=55, sma=8, over=7, numberOfPositions=19, result=1.2385617367155616405274637161225)
ResultModel(adx=50, sma=8, over=8, numberOfPositions=14, result=1.2377759687029844414975252277866)
ResultModel(adx=52, sma=9, over=9, numberOfPositions=15, result=1.2376107052436879339014426688175)
ResultModel(adx=44, sma=8, over=9, numberOfPositions=15, result=1.2368842820040451275949615362907)
ResultModel(adx=47, sma=7, over=9, numberOfPositions=14, result=1.2366657544034914493929401476004)
ResultModel(adx=50, sma=2, over=9, numberOfPositions=15, result=1.2363094122663055509787425562127)
ResultModel(adx=28, sma=9, over=1, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=28, sma=9, over=2, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=28, sma=9, over=3, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=28, sma=9, over=4, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=28, sma=9, over=5, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=28, sma=9, over=6, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=28, sma=9, over=7, numberOfPositions=23, result=1.2359872017860579931776366106099)
ResultModel(adx=30, sma=6, over=1, numberOfPositions=29, result=1.2358543797396356481005500602425)
ResultModel(adx=30, sma=6, over=2, numberOfPositions=29, result=1.2358543797396356481005500602425)
ResultModel(adx=30, sma=6, over=3, numberOfPositions=29, result=1.2358543797396356481005500602425)
ResultModel(adx=30, sma=6, over=4, numberOfPositions=29, result=1.2358543797396356481005500602425)
ResultModel(adx=30, sma=6, over=5, numberOfPositions=29, result=1.2358543797396356481005500602425)
ResultModel(adx=30, sma=6, over=6, numberOfPositions=29, result=1.2358543797396356481005500602425)
ResultModel(adx=43, sma=8, over=9, numberOfPositions=15, result=1.2354380364627263665883081848283)
ResultModel(adx=44, sma=7, over=9, numberOfPositions=17, result=1.2352958919279318853373323445401)
ResultModel(adx=46, sma=9, over=8, numberOfPositions=16, result=1.2349243082317060660760979552090)
ResultModel(adx=56, sma=9, over=1, numberOfPositions=19, result=1.2347539943207497128300543527926)
ResultModel(adx=56, sma=9, over=2, numberOfPositions=19, result=1.2347539943207497128300543527926)
ResultModel(adx=56, sma=9, over=3, numberOfPositions=19, result=1.2347539943207497128300543527926)
ResultModel(adx=56, sma=9, over=4, numberOfPositions=19, result=1.2347539943207497128300543527926)
ResultModel(adx=56, sma=9, over=5, numberOfPositions=19, result=1.2347539943207497128300543527926)
ResultModel(adx=49, sma=7, over=8, numberOfPositions=15, result=1.2347395337851450469309730505368)
ResultModel(adx=51, sma=9, over=8, numberOfPositions=15, result=1.2347135443940031413219104366439)
ResultModel(adx=47, sma=7, over=8, numberOfPositions=14, result=1.2342198575169054358807381368635)
ResultModel(adx=48, sma=7, over=8, numberOfPositions=14, result=1.2342198575169054358807381368635)
ResultModel(adx=29, sma=9, over=1, numberOfPositions=22, result=1.2342193464064079055729812650585)
ResultModel(adx=29, sma=9, over=2, numberOfPositions=22, result=1.2342193464064079055729812650585)
ResultModel(adx=29, sma=9, over=3, numberOfPositions=22, result=1.2342193464064079055729812650585)
ResultModel(adx=29, sma=9, over=4, numberOfPositions=22, result=1.2342193464064079055729812650585)
ResultModel(adx=29, sma=9, over=5, numberOfPositions=22, result=1.2342193464064079055729812650585)
ResultModel(adx=29, sma=9, over=6, numberOfPositions=22, result=1.2342193464064079055729812650585)
ResultModel(adx=43, sma=7, over=9, numberOfPositions=17, result=1.2338515036355885351373276686362)
ResultModel(adx=55, sma=7, over=7, numberOfPositions=20, result=1.2336978015620015703349756554873)
ResultModel(adx=54, sma=9, over=1, numberOfPositions=18, result=1.2334725544852378943234679045758)
ResultModel(adx=54, sma=9, over=2, numberOfPositions=18, result=1.2334725544852378943234679045758)
ResultModel(adx=54, sma=9, over=3, numberOfPositions=18, result=1.2334725544852378943234679045758)
ResultModel(adx=54, sma=9, over=4, numberOfPositions=18, result=1.2334725544852378943234679045758)
