ResultModel(longCCI=105, shortCCI=5, plus=100, minus=-125, numberOfPositions=1, result=1.3801985250343227186023060007047)
ResultModel(longCCI=110, shortCCI=5, plus=100, minus=-130, numberOfPositions=1, result=1.3801985250343227186023060007047)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-130, numberOfPositions=1, result=1.3801985250343227186023060007047)
ResultModel(longCCI=100, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=100, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=100, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=105, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=105, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=105, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=110, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=110, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=110, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=110, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=115, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=115, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=115, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=115, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=115, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=120, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=120, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=120, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=120, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=120, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=120, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=125, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=130, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=135, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
