ResultModel(longCCI=160, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=160, shortCCI=25, plus=105, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=165, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=170, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=170, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=175, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=175, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=180, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=180, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=185, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=185, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=190, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=190, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=195, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=195, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=200, shortCCI=25, plus=100, minus=-105, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=200, shortCCI=25, plus=100, minus=-100, numberOfPositions=1, result=1.2585153975430208062110919118517)
ResultModel(longCCI=160, shortCCI=25, plus=110, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=165, shortCCI=25, plus=105, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=165, shortCCI=25, plus=110, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=170, shortCCI=25, plus=105, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=170, shortCCI=25, plus=105, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=170, shortCCI=25, plus=110, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=170, shortCCI=25, plus=110, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=175, shortCCI=25, plus=100, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=175, shortCCI=25, plus=105, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=175, shortCCI=25, plus=105, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=175, shortCCI=25, plus=105, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
