Date,Price,Open,High,Low,
1/1/2021,1898.10,1897.69,1899.12,1897.39,
1/4/2021,1942.28,1906.05,1944.65,1905.36,
1/5/2021,1949.35,1942.65,1953.17,1934.08,
1/6/2021,1918.81,1950.30,1959.60,1901.11,
1/7/2021,1912.50,1919.40,1927.97,1906.86,
1/8/2021,1848.26,1912.90,1917.85,1828.74,
1/11/2021,1844.66,1849.34,1857.05,1817.14,
1/12/2021,1855.63,1845.34,1864.08,1837.41,
1/13/2021,1843.41,1856.19,1863.26,1843.34,
1/14/2021,1846.37,1843.94,1857.59,1833.21,
1/15/2021,1826.59,1846.80,1856.85,1823.21,
1/18/2021,1836.89,1828.94,1840.95,1810.46,
1/19/2021,1839.34,1838.09,1845.98,1833.06,
1/20/2021,1870.91,1840.05,1872.03,1832.46,
1/21/2021,1869.91,1871.07,1875.45,1858.16,
1/22/2021,1852.55,1870.09,1871.17,1837.09,
1/25/2021,1854.99,1855.75,1868.45,1847.30,
1/26/2021,1850.31,1855.55,1861.86,1848.36,
1/27/2021,1843.99,1850.65,1853.58,1831.29,
1/28/2021,1840.36,1844.34,1864.26,1833.81,
1/29/2021,1846.09,1840.90,1876.03,1839.56,
2/1/2021,1860.16,1863.05,1871.84,1849.04,
2/2/2021,1837.35,1860.84,1864.26,1829.46,
2/3/2021,1833.76,1837.49,1845.29,1829.49,
2/4/2021,1792.26,1834.34,1835.13,1785.15,
2/5/2021,1811.62,1792.49,1815.32,1791.80,
2/8/2021,1830.16,1815.44,1839.15,1807.48,
2/9/2021,1837.06,1830.59,1849.15,1828.63,
2/10/2021,1842.22,1837.55,1855.70,1833.91,
2/11/2021,1825.36,1842.65,1847.95,1820.63,
2/12/2021,1823.46,1825.90,1830.80,1810.33,
2/15/2021,1818.51,1825.34,1827.59,1815.71,
2/16/2021,1794.31,1819.34,1826.75,1789.19,
2/17/2021,1776.26,1794.65,1795.45,1769.27,
2/18/2021,1775.49,1776.69,1789.88,1767.98,
2/19/2021,1782.31,1776.19,1791.70,1760.13,
2/22/2021,1808.66,1782.24,1812.76,1780.46,
2/23/2021,1805.06,1809.09,1816.27,1795.78,
2/24/2021,1804.36,1805.34,1813.99,1783.30,
2/25/2021,1769.88,1804.80,1806.06,1765.44,
2/26/2021,1733.49,1770.49,1776.10,1717.26,
3/1/2021,1723.84,1733.40,1760.02,1719.52,
3/2/2021,1738.09,1724.10,1738.89,1707.18,
3/3/2021,1710.95,1738.59,1740.85,1701.94,
3/4/2021,1697.19,1711.84,1723.34,1690.64,
3/5/2021,1700.86,1698.59,1707.76,1687.12,
3/8/2021,1681.24,1702.80,1714.45,1676.70,
3/9/2021,1715.36,1682.55,1720.83,1679.80,
3/10/2021,1726.05,1715.94,1726.76,1707.99,
3/11/2021,1721.41,1726.55,1739.99,1719.38,
3/12/2021,1726.41,1721.59,1728.42,1698.85,
3/15/2021,1731.84,1727.74,1734.99,1721.31,
3/16/2021,1730.94,1730.57,1741.40,1725.80,
3/17/2021,1744.44,1730.61,1751.81,1724.14,
3/18/2021,1736.41,1745.09,1755.59,1719.05,
3/19/2021,1744.74,1735.90,1746.88,1728.04,
3/22/2021,1738.69,1745.74,1747.18,1727.40,
3/23/2021,1727.11,1739.05,1742.85,1724.42,
3/24/2021,1734.19,1727.80,1738.56,1723.85,
3/25/2021,1726.82,1735.65,1745.95,1721.84,
3/26/2021,1731.97,1727.30,1737.01,1721.23,
3/29/2021,1711.99,1732.15,1733.34,1705.58,
3/30/2021,1684.80,1712.55,1714.74,1678.85,
3/31/2021,1707.01,1685.59,1715.28,1677.93,
4/1/2021,1730.18,1708.09,1730.80,1705.42,
4/2/2021,1728.84,1730.47,1732.55,1728.67,
4/5/2021,1728.44,1728.74,1733.75,1721.22,
4/6/2021,1743.57,1728.49,1745.68,1726.82,
4/7/2021,1737.28,1742.96,1744.57,1730.13,
4/8/2021,1755.94,1737.84,1759.13,1732.99,
4/9/2021,1743.10,1756.54,1757.47,1731.09,
4/12/2021,1732.51,1743.80,1745.36,1727.18,
4/13/2021,1743.83,1732.59,1749.23,1723.27,
4/14/2021,1736.00,1744.30,1749.58,1732.13,
4/15/2021,1763.21,1737.10,1769.91,1734.10,
4/16/2021,1776.31,1763.84,1784.07,1759.79,
